subject ID,age,gender,handedness,question ID,questionnaire type,condition,delay time,value
P03,26,Female,Rigth handed,0,VAS,1,0.9,0.8077599
P03,26,Female,Rigth handed,1,VAS,1,0.9,0.1481409
P03,26,Female,Rigth handed,2,VAS,1,0.9,0.4819287
P03,26,Female,Rigth handed,3,VAS,1,0.9,0.9916438
P03,26,Female,Rigth handed,4,VAS,1,0.9,0.3009601
P03,26,Female,Rigth handed,5,VAS,1,0.9,0.572243
P03,26,Female,Rigth handed,6,VAS,1,0.9,0.6006088
P03,26,Female,Rigth handed,7,VAS,1,0.9,0.7939359
P03,26,Female,Rigth handed,0,VAS,2,0,0.2811563
P03,26,Female,Rigth handed,1,VAS,2,0,0.2099864
P03,26,Female,Rigth handed,2,VAS,2,0,0.6502641
P03,26,Female,Rigth handed,3,VAS,2,0,0.6298742
P03,26,Female,Rigth handed,4,VAS,2,0,0.5560177
P03,26,Female,Rigth handed,5,VAS,2,0,0.8351537
P03,26,Female,Rigth handed,6,VAS,2,0,0.3863288
P03,26,Female,Rigth handed,7,VAS,2,0,0.3926648
